 -> 1
0-and-forever -> 1
0-and-whatever -> 3
0-fer -> 33
0-for-december -> 2
0-for-ever -> 3
0-for-forever -> 3
0-for-june-july-august-september -> 1
0-for-november -> 3
0-for-october -> 4
0-for-september -> 2
0-for-the-west -> 1
0-for-whatever -> 3
0-for-winter -> 1
0-forever -> 2
0-freezer -> 1
0-member -> 1
0-meter -> 1
0-turnover -> 2
0.1-meter -> 1
0.1-millimeter -> 2
0.153-million-square-meter -> 1
0.186-square-kilometer -> 1
0.19-euro-per-liter -> 1
0.2-square-kilometer -> 1
0.22-caliber -> 4
0.22-meter -> 1
0.25-liter -> 1
0.25-micrometer -> 1
0.25-millimeter -> 1
0.25-square-meter -> 1
0.27-meter -> 1
0.27-square-kilometer -> 1
0.27-square-meter -> 1
0.28-millimeter -> 2
0.3-centimeter -> 1
0.3-liter -> 1
0.3-meter -> 10
0.3-meter-diameter -> 1
0.3-millimeter -> 1
0.3-million-square-meter -> 1
0.32-caliber -> 2
0.32-square-kilometer -> 1
0.35-liter -> 1
0.35-micrometer -> 1
0.35-micron-or-lower -> 1
0.357-caliber -> 2
0.375-liter -> 1
0.38-caliber -> 2
0.39-meter -> 1
0.4-kilometer -> 6
0.4-liter -> 1
0.4-meter -> 1
0.4-per -> 2
0.41-meter -> 1
0.45-caliber -> 1
0.45-inch-diameter -> 1
0.45-liter -> 1
0.45-meter -> 2
0.5-centimeter -> 2
0.5-kilometer -> 1
0.5-liter -> 5
0.5-meter -> 7
0.5-milliliter -> 1
0.5-millimeter -> 4
0.5-per -> 2
0.5-square-kilometer -> 1
0.50-caliber -> 1
0.57-liter -> 1
0.6-centimeter -> 6
0.6-kilometer -> 2
0.6-liter -> 7
0.6-literformer -> 1
0.6-meter -> 51
0.6-millimeter -> 1
0.61-meter -> 10
0.62-meter -> 1
0.635-centimeter -> 1
0.69-meter -> 1
0.7-liter -> 5
0.7-meter -> 1
0.70-liter -> 1
0.72-meter -> 1
0.72-quare-kilometer -> 1
0.73-kilometer -> 1
0.73-square-kilometer -> 1
0.75-liter -> 1
0.75-meter -> 5
0.76-meter -> 1
0.77-liter -> 1
0.8-kilometer -> 14
0.8-liter -> 2
0.8-meter -> 3
0.80-kilometer -> 2
0.846-kilometer -> 2
0.85-kilometer -> 2
0.85-meter -> 1
0.856-kilometer -> 2
0.857-kilometer -> 1
0.858-kilometer -> 2
0.9-kilometer -> 1
0.9-liter -> 1
0.9-meter -> 45
0.9-meter-diameter -> 1
0.91-meter -> 5
0.95-meter -> 2
0.97-liter -> 1
000-character -> 1
000-cubic-meter -> 1
000-kilometer -> 5
000-liter -> 1
000-member -> 5
000-meter -> 12
000-seater -> 2
000-square-kilometer -> 4
000-square-meter -> 7
002-member -> 1
009other -> 1
009summer -> 1
018-square-meter -> 1
03ter -> 1
05-meter -> 1
05-mg-per-liter -> 1
050-square-meter -> 1
064-square-meter -> 1
068-meter -> 1
08-meter -> 2
0ctober -> 1
0former -> 1
0latest -> 1
0lower -> 1
0o0lffer -> 1
0r2-member -> 1
0river -> 1
0ver -> 4
1,00-meter -> 1
1,000-and-under -> 4
1,000-bomber -> 16
1,000-candlepower -> 2
1,000-character -> 2
1,000-cubic-centimeter -> 2
1,000-denier -> 1
1,000-euro-a-guest -> 1
1,000-foot-diameter -> 6
1,000-footer -> 1
1,000-grounder -> 1
1,000-guest -> 5
1,000-guilder -> 1
1,000-horsepower -> 19
1,000-kilometer -> 211
1,000-kilometerformer -> 1
1,000-kroner -> 7
1,000-lawyer -> 2
1,000-layer -> 1
1,000-liter -> 4
1,000-member -> 208
1,000-meter -> 225
1,000-meterlatest -> 1
1,000-milliliter -> 1
1,000-millimeter -> 1
1,000-mm-diameter -> 1
1,000-nanometer -> 1
1,000-number -> 2
1,000-odd-square-meter -> 1
1,000-officer -> 1
1,000-order -> 1
1,000-passenger -> 11
1,000-per -> 4
1,000-per-guest -> 1
1,000-per-passenger -> 1
1,000-per-quarter -> 1
1,000-player -> 1
1,000-plus-member -> 1
1,000-pound-test -> 1
1,000-pounder -> 2
1,000-power -> 1
1,000-prisoner -> 2
1,000-roomer -> 1
1,000-seater -> 1
1,000-soldier -> 9
1,000-square-kilometer -> 24
1,000-square-meter -> 33
1,000-square-meterfewer -> 1
1,000-test -> 1
1,000-voter -> 1
1,000-worker -> 9
1,000-yard-rusher -> 1
1,000-yarder -> 2
1,001-horsepower -> 10
1,002-meter -> 1
1,003-kilometer -> 1
1,004-passenger -> 1
1,005-kilometer -> 1
1,005-member -> 1
1,005-meter -> 2
1,006-kilometer -> 1
1,007-kilometer -> 1
1,008-kilometer -> 2
1,008-meter -> 2
1,008.7-kilometer -> 1
1,009-meter -> 1
1,010-kilometer -> 1
1,010-member -> 1
1,010-passenger -> 1
1,011-kilometer -> 1
1,013-member -> 1
1,014-member -> 1
1,015-kilometer -> 1
1,016-kilometer -> 1
1,017.5-cubic-meter -> 1
1,020-kilometer -> 3
1,020-member -> 1
1,020-meter -> 2
1,022-kilometer -> 1
1,022-meter -> 1
1,022-passenger -> 2
1,022-square-meter -> 1
1,023-member -> 1
1,023-meter -> 1
1,024-kilometer -> 1
1,026-meter -> 1
1,028-kilometer -> 2
1,028-member -> 1
1,029-kilometer -> 1
1,030-kilometer -> 13
1,030-member -> 1
1,030-meter -> 1
1,031-kilometer -> 1
1,032-kilometer -> 1
1,034-square-meter -> 1
1,034-teu-container -> 1
1,035-meter -> 1
1,035-square-kilometer -> 1
1,036-kilometer -> 1
1,036-meter -> 1
1,040-kilometer -> 5
1,040-liter -> 1
1,040-member -> 2
1,040-meter -> 3
1,040-square-kilometer -> 2
1,041-liter -> 1
1,041-meter -> 1
1,042-kilometer -> 2
1,043-kilometer -> 1
1,043-member -> 2
1,045-kilometer -> 1
1,046-kilometer -> 2
1,048-member -> 3
1,049-kilometer -> 1
1,049-member -> 2
1,049-meter -> 1
1,050-kilometer -> 11
1,050-member -> 6
1,050-meter -> 8
1,050-passenger -> 4
1,050-square-meter -> 1
1,051-kilometer -> 1
1,052-member -> 1
1,052-passenger -> 2
1,055-kilometer -> 1
1,055-member -> 1
1,056-passenger -> 2
1,059-member -> 1
1,059-meter -> 1
1,06-kilometer -> 1
1,060-kilometer -> 6
1,060-meter -> 2
1,062-kilometer -> 1
1,062-meter -> 1
1,063-member -> 1
1,064-member -> 1
1,066-meter -> 1
1,067-meter -> 2
1,068-meter -> 1
1,068.6-kilometer -> 1
1,070-kilometer -> 7
1,070-member -> 1
1,073-kilometer -> 2
1,075-kilometer -> 2
1,075-member -> 1
1,076-member -> 1
1,076-meter -> 1
1,078-kilometer -> 1
1,080-passenger -> 4
1,080-passengerother -> 1
1,080-square-meter -> 8
1,082-kilometer -> 1
1,084-kilometer -> 1
1,084-meter -> 1
1,085-meter -> 1
1,086-meter -> 5
1,088-passenger -> 1
1,090-kilometer -> 1
1,090-meter -> 1
1,091-meter -> 1
1,092-hecter -> 1
1,092-member -> 1
1,095-kilometer -> 3
1,096-member -> 1
1,099-kilometer -> 1
1,099-member -> 3
1,100-horsepower -> 1
1,100-kilometer -> 58
1,100-kilomter -> 1
1,100-lawyer -> 2
1,100-liter -> 1
1,100-member -> 63
1,100-meter -> 8
1,100-officer -> 1
1,100-passenger -> 4
1,100-soldier -> 1
